ID,Brand,Category,Sub_category,Sub_Sub_Category,Product_Name,SKU,Price,Offer_Price,Description,Product_Id,Image1,Image2,image3,image4,image5,,,
19,Lidl,Daily Deals,"Fresh Poultry, Meat & Fish",Fresh Beef,12 Irish Beef Meatballs 360g,73023,1.99,1.69,Please see photos for Allergy and Nutritional information.,1665207,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/73023/404752_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/73023/404753_orig.jpg,,,,,,
20,Lidl,Daily Deals,"Fresh Poultry, Meat & Fish",Fresh Beef,4 Irish Beef Quarter Pounders 454g,71523,3.29,2.49,Please see photos for Allergy and Nutritional information.,1652240,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/71523/404678_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/71523/404679_orig.jpg,,,,,,
21,Lidl,Daily Deals,"Fresh Poultry, Meat & Fish",Fresh Beef,28 day Matured Irish Beef Medallion Steaks  380g,73045,4.99,3.99,Please see photos for Allergy and Nutritional information.,1664902,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/73045/410991_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/73045/410992_orig.jpg,,,,,,
22,Lidl,Daily Deals,Food Cupboard,Tea/Coffee/Hot Chocolate,Rich Instant Coffee 200g,237149,5.99,4.99,Please see photos for Allergy and Nutritional information.,1662706,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/237149/395250_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/237149/395251_orig.jpg,,,,,,
23,Lidl,Daily Deals,Food Cupboard,Pastries/Crisps,Chocolate Sandwich Biscuits with Filling 180g,72552,1.29,0.99,Please see photos for Allergy and Nutritional information.,1663255,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72552/402107_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/72552/402108_orig.jpg,,,,,,
24,Lidl,Daily Deals,Food Cupboard,Pastries/Crisps,Ready Salted Potato Sticks  125g,70762,0.99,0.59,Please see photos for Allergy and Nutritional information.,1665085,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70762/404399_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70762/404400_orig.jpg,,,,,,
25,Lidl,Daily Deals,Food Cupboard,Pastries/Crisps,Salt & Vinegar Potato Sticks  125g,70761,0.99,0.59,Please see photos for Allergy and Nutritional information.,1665024,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70761/404401_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70761/404402_orig.jpg,,,,,,
26,Lidl,Daily Deals,Food Cupboard,Pastries/Crisps,Sour Cream & Onion Potato Sticks  125g,70760,0.99,0.59,Please see photos for Allergy and Nutritional information.,1664963,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70760/389498_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70760/389499_orig.jpg,,,,,,
27,Lidl,Daily Deals,Food Cupboard,Pastries/Crisps,10 Plain Waffle Cones  125/150g,84664,0.99,0.69,Please see photos for Allergy and Nutritional information.,1593855,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84664/394169_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84664/394168_orig.jpg,,,,,,
28,Lidl,Daily Deals,Food Cupboard,Pastries/Crisps,Salt & Vinegar  165g,265471,2.5,1.99,Please see photos for Allergy and Nutritional information.,1662096,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/265471/396981_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/265471/396980_orig.jpg,,,,,,
29,Lidl,Daily Deals,Food Cupboard,Pastries/Crisps,6 Dipped Waffle Cones  125/150g,84663,0.99,0.69,Please see photos for Allergy and Nutritional information.,1593794,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84663/181193_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84663/181194_orig.jpg,,,,,,
30,Lidl,Daily Deals,Food Cupboard,Nuts/ Dried Fruit,Raw Cacao & Orange Bar  35g,81613,3.29,0.49,Please see photos for Allergy and Nutritional information.,1663804,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/81613/403423_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/81613/403424_orig.jpg,,,,,,
31,Lidl,Daily Deals,Food Cupboard,Nuts/ Dried Fruit,Raw Cashew Bar  35g,81615,3.29,0.49,Please see photos for Allergy and Nutritional information.,1663926,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/81615/403427_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/81615/403428_orig.jpg,,,,,,
32,Lidl,Daily Deals,Food Cupboard,Nuts/ Dried Fruit,Raw Bakewell Bar  35g,81614,3.29,0.49,Please see photos for Allergy and Nutritional information.,1663865,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/81614/403425_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/81614/403426_orig.jpg,,,,,,
33,Lidl,Daily Deals,Frozen,Ice Cream,Mint Ice Cream Sticks  6 x 120ml,84596,2.89,1.45,Please see photos for Allergy and Nutritional information.,1483778,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84596/399283_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84596/399284_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84596/399285_orig.jpg,,,,,
34,Lidl,Daily Deals,Frozen,Ice Cream,Mint Ice Cream Sticks  6x 120 ml,84597,2.89,1.45,Please see photos for Allergy and Nutritional information.,1483839,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84597/338585_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84597/372255_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84597/372256_orig.jpg,,,,,
35,Lidl,Daily Deals,Frozen,Ice Cream,Toffee Ice Cream Sticks  6 x 120ml,225326,2.89,1.45,Please see photos for Allergy and Nutritional information.,1483900,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/225326/399280_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/225326/399281_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/225326/399282_orig.jpg,,,,,
36,Lidl,Daily Deals,Frozen,Ice Cream,Classic Chocolate Ice Creams  6 x 120ml,264497,2.89,1.45,Please see photos for Allergy and Nutritional information.,1483961,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/264497/410461_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/264497/399279_orig.jpg,,,,,,
37,Lidl,Daily Deals,Frozen,Ice Cream,6 White Chocolate Vanilla Ice Cream  6 x 120ml,264498,2.89,1.45,Please see photos for Allergy and Nutritional information.,1484022,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/264498/407544_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/264498/407545_orig.jpg,,,,,,
38,Lidl,Daily Deals,Frozen,Ice Cream,Classic Almond Ice Cream Sticks  6 x 120ml,250434,2.89,1.45,Please see photos for Allergy and Nutritional information.,1483717,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/250434/410989_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/250434/410990_orig.jpg,,,,,,
39,Lidl,Daily Deals,Alcohol,White Wine,Liebfraumilch 8.5% 750ml,131255,5.99,5.19,Please see photos for Allergy and Nutritional information.,1662889,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/131255/401464_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/131255/401465_orig.jpg,,,,,,
40,Lidl,Daily Deals,Alcohol,White Wine,Mosel Riesling  750ml,168863,7.99,6.49,Please see photos for Allergy and Nutritional information.,1662828,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/168863/397761_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/168863/397762_orig.jpg,,,,,,
41,Lidl,Daily Deals,Alcohol,Beer/Cider,Pilsner 4 x 500ml,265609,7.5,6.79,Please see photos for Allergy and Nutritional information.,1685944,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/265609/396937_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/265609/396936_orig.jpg,,,,,,
42,Lidl,Daily Deals,Alcohol,Beer/Cider,Guinness 4.2%  4 x 500ml,265610,8,6.69,Please see photos for Allergy and Nutritional information.,1662279,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/265610/396940_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/265610/396938_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/265610/396939_orig.jpg,,,,,
43,Lidl,Daily Deals,Health & Beauty,Hair Care,Hairspray Max Hold  400ml,83742,1.19,0.79,Please see photos for Allergy and Nutritional information.,1664780,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/83742/398286_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/83742/398287_orig.jpg,,,,,,
44,Lidl,Daily Deals,Health & Beauty,Hair Care,Hairspray Natural Hold & Added Shine  400ml,83743,1.19,0.79,Please see photos for Allergy and Nutritional information.,1664841,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/83743/398290_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/83743/398291_orig.jpg,,,,,,
45,Lidl,Daily Deals,Health & Beauty,Hair Care,Hairspray Supreme Volume  400ml,83741,1.19,0.79,Please see photos for Allergy and Nutritional information.,1664719,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/83741/398288_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/83741/398289_orig.jpg,,,,,,
46,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Lotus & Chamomile Hand Soap  500ml,248484,0.99,0.99,Please see photos for Allergy and Nutritional information.,648377,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/248484/391272_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/248484/386822_orig.jpg,,,,,,
47,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Milk & Honey Hand Wash Refill  1l,122380,1.29,0.99,Please see photos for Allergy and Nutritional information.,1663011,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/122380/398196_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/122380/398197_orig.jpg,,,,,,
48,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Lotus & Chamomile Antibacterial Handwash  500ml,237144,0.99,0.99,Please see photos for Allergy and Nutritional information.,648197,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/237144/398082_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/237144/398083_orig.jpg,,,,,,
49,Lidl,Daily Deals,Health & Beauty,Shower Gel/ Soap/Bath ,Almond Hand Wash Refill  1l,122379,1.29,0.99,Please see photos for Allergy and Nutritional information.,1662950,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/122379/398194_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/122379/398195_orig.jpg,,,,,,
